Date,GOOGLE,AMZN
5/17/05,116.681679,34.73
5/18/05,119.699699,35.330002
5/19/05,119.709709,35.59
5/20/05,120.925926,35.5
5/23/05,127.852852,35.68
5/24/05,128.128128,35.540001
5/25/05,130.535538,35.25
5/26/05,129.729736,35.450001
5/27/05,133.133133,35.5
5/31/05,138.773773,35.509998
6/1/05,144.14415,36.5
6/2/05,144.094101,36.41
6/3/05,140.270264,35.59
6/6/05,145.615616,35.77
6/7/05,146.706711,35.349998
6/8/05,139.919922,34.830002
6/9/05,143.298294,35.200001
6/10/05,141.391388,34.950001
6/13/05,141.51651,34.869999
6/14/05,139.314316,35.040001
6/15/05,137.537537,35.240002
6/16/05,138.858856,35.580002
6/17/05,140.290283,35.310001
6/20/05,143.4935,35.689999
6/21/05,144.064072,35.380001
6/22/05,144.7948,35.220001
6/23/05,145,35.43
6/24/05,148.773773,35.02
6/27/05,152.202209,34.5
6/28/05,151.151154,33.709999
6/29/05,146.5065,33.349998
6/30/05,147.222229,33.09
7/1/05,145.770767,32.91
7/5/05,148.003006,34.080002
7/6/05,145.905899,34.060001
7/7/05,147.917923,33.959999
7/8/05,148.26326,34.740002
7/11/05,146.821823,35.59
7/12/05,146.036041,36.310001
7/13/05,149.579575,36.509998
7/14/05,150.595596,37.189999
7/15/05,150.745743,37.150002
7/18/05,149.919922,37.189999
7/19/05,155.105103,38.169998
7/20/05,156.156158,38.169998
7/21/05,157.127121,37.950001
7/22/05,151.351349,37.950001
7/25/05,148.073074,37.950001
7/26/05,148.193192,37.740002
7/27/05,148.613617,43.650002
7/28/05,146.896896,45.68
7/29/05,144.024017,45.150002
8/1/05,145.950958,44.93
8/2/05,149.744751,46.509998
8/3/05,148.798798,46.110001
8/4/05,149.014008,45.459999
8/5/05,146.32132,45.27
8/8/05,145.770767,45.66
8/9/05,145.930923,45.93
8/10/05,142.982986,44.759998
8/11/05,142.16716,45.209999
8/12/05,145.005005,44.200001
8/15/05,142.142136,45.040001
8/16/05,142.967972,44.27
8/17/05,142.692688,44.119999
8/18/05,140.135132,43.73
8/19/05,140.140137,43.720001
8/22/05,137.142136,43.77
8/23/05,139.929932,43.419998
8/24/05,141.426422,42.369999
8/25/05,141.436432,42.310001
8/26/05,141.931931,42.369999
8/29/05,144.36937,42.790001
8/30/05,143.778778,42.490002
8/31/05,143.143143,42.700001
9/1/05,143.268265,41.84
9/2/05,144.36937,41.509998
9/6/05,143.6987,43.619999
9/7/05,147.582581,43.73
9/8/05,147.84285,42.959999
9/9/05,149.694702,42.950001
9/12/05,155.025024,44.5
9/13/05,155.996002,43.93
9/14/05,151.651657,43.099998
9/15/05,151.461456,42.709999
9/16/05,150.250244,42.799999
9/19/05,152.047043,42.75
9/20/05,154.109116,41.869999
9/21/05,156.10611,41.25
9/22/05,155.840836,42.080002
9/23/05,157.837845,42.189999
9/26/05,157.297302,43.34
9/27/05,157.127121,43.16
9/28/05,153.153152,43.369999
9/29/05,154.964966,44.790001
9/30/05,158.388382,45.299999
